                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.83182,                 1.0917,                0.48945,                0.88915,                0.99311,                0.99963,                0.99412,                0.91728,                0.99348,                      1,                0.99413,                0.77841,                0.53271,                0.64432,                0.36016,                0.82445,              4.555e-05,              4.555e-05,              4.555e-05
                     58,                0.82298,                 1.0661,                0.48663,                0.88666,                0.99279,                0.99963,                0.99405,                0.91136,                0.99279,                0.99963,                0.99405,                0.77525,                0.52955,                0.64004,                0.35836,                0.82554,              4.456e-05,              4.456e-05,              4.456e-05
                     59,                0.82538,                 1.0957,                0.48705,                0.88771,                0.99283,                0.99906,                0.99432,                0.91115,                0.99283,                0.99906,                0.99432,                0.76949,                0.53603,                0.63628,                0.35565,                0.82585,              4.357e-05,              4.357e-05,              4.357e-05
                     60,                0.81835,                 1.0767,                0.48024,                0.88704,                0.99387,                0.99888,                0.99374,                0.91674,                0.99376,                0.99902,                0.99374,                 0.7774,                0.53465,                0.64247,                0.35593,                0.82516,              4.258e-05,              4.258e-05,              4.258e-05
                     61,                0.81648,                 1.0842,                0.48199,                0.88823,                0.99404,                0.99963,                 0.9937,                0.91439,                0.99404,                0.99963,                 0.9937,                0.77233,                0.52729,                 0.6294,                0.35226,                0.82305,              4.159e-05,              4.159e-05,              4.159e-05
                     62,                0.81603,                 1.0833,                0.48261,                0.88734,                0.99412,                 0.9992,                0.99406,                0.91528,                0.99449,                0.99958,                0.99407,                0.76628,                0.52659,                0.63384,                0.35708,                0.82492,               4.06e-05,               4.06e-05,               4.06e-05
                     63,                0.81648,                 1.0716,                0.48075,                0.88441,                0.99297,                0.99888,                0.99409,                0.91796,                0.99297,                0.99888,                0.99409,                0.77249,                0.51971,                0.62756,                0.35358,                  0.824,              3.961e-05,              3.961e-05,              3.961e-05
                     64,                0.80318,                 1.0547,                0.47448,                0.88392,                 0.9935,                0.99963,                0.99392,                0.91913,                0.99323,                0.99963,                0.99392,                0.77256,                0.51026,                0.62646,                0.34802,                0.82026,              3.862e-05,              3.862e-05,              3.862e-05
                     65,                0.80645,                 1.0648,                0.47619,                0.88437,                0.99382,                0.99901,                0.99404,                0.91768,                0.99382,                0.99901,                0.99404,                0.76859,                0.52016,                0.62809,                0.34978,                0.82238,              3.763e-05,              3.763e-05,              3.763e-05
                     66,                0.80543,                 1.0655,                0.47568,                0.88496,                0.99346,                0.99963,                0.99423,                0.91368,                0.99369,                      1,                0.99423,                0.77645,                0.51975,                0.62393,                0.35188,                0.82175,              3.664e-05,              3.664e-05,              3.664e-05
                     67,                0.79953,                 1.0544,                0.47342,                0.88446,                 0.9933,                0.99963,                0.99415,                0.92353,                0.99317,                0.99971,                0.99415,                0.76999,                0.51026,                0.62854,                0.34635,                0.82059,              3.565e-05,              3.565e-05,              3.565e-05
                     68,                0.80299,                 1.0721,                0.47251,                0.88452,                0.99447,                0.99963,                0.99396,                0.92089,                0.99443,                0.99963,                0.99396,                0.77196,                0.51448,                0.62659,                0.34429,                0.81995,              3.466e-05,              3.466e-05,              3.466e-05
                     69,                0.80193,                 1.0603,                0.47351,                0.88364,                0.99405,                0.99966,                0.99404,                0.92255,                0.99405,                0.99966,                0.99404,                0.77114,                0.51099,                0.61389,                0.34469,                0.82293,              3.367e-05,              3.367e-05,              3.367e-05
                     70,                0.79851,                 1.0448,                0.46926,                0.88376,                0.99394,                0.99969,                 0.9941,                0.92253,                0.99394,                0.99969,                 0.9941,                   0.77,                0.50427,                0.62231,                0.34304,                0.82039,              3.268e-05,              3.268e-05,              3.268e-05
                     71,                 0.7977,                 1.0509,                0.46829,                0.88395,                0.99566,                0.99703,                0.99397,                0.92171,                0.99354,                0.99985,                0.99398,                0.78183,                0.50205,                 0.6121,                0.34101,                0.82082,              3.169e-05,              3.169e-05,              3.169e-05
                     72,                0.79941,                 1.0541,                0.46946,                0.88422,                 0.9942,                0.99889,                0.99415,                0.91873,                0.99415,                      1,                0.99415,                0.77734,                 0.5099,                0.61707,                0.34224,                0.82091,               3.07e-05,               3.07e-05,               3.07e-05
                     73,                 0.7971,                 1.0534,                0.46958,                0.88367,                0.99428,                0.99963,                0.99421,                0.91441,                0.99428,                0.99963,                0.99421,                0.77221,                0.50605,                0.60017,                0.33996,                  0.822,              2.971e-05,              2.971e-05,              2.971e-05
                     74,                0.79862,                 1.0498,                0.46884,                0.88237,                0.99375,                0.99963,                0.99426,                0.92141,                0.99412,                      1,                0.99426,                0.78104,                0.49875,                0.60524,                0.33946,                0.82079,              2.872e-05,              2.872e-05,              2.872e-05
                     75,                0.79157,                 1.0354,                0.46497,                0.87978,                 0.9941,                0.99963,                0.99396,                0.91789,                0.99447,                      1,                0.99397,                0.76903,                 0.5037,                0.60008,                 0.3401,                0.81996,              2.773e-05,              2.773e-05,              2.773e-05
                     76,                0.78844,                 1.0362,                0.46353,                0.88177,                0.99387,                0.99963,                0.99411,                0.92521,                0.99424,                      1,                0.99411,                0.77394,                0.49799,                0.60794,                0.33674,                0.81999,              2.674e-05,              2.674e-05,              2.674e-05
                     77,                0.78576,                 1.0336,                0.46321,                0.87961,                0.99336,                0.99963,                0.99396,                 0.9226,                0.99349,                      1,                0.99396,                0.77254,                0.49733,                0.60241,                0.33765,                 0.8197,              2.575e-05,              2.575e-05,              2.575e-05
                     78,                0.78579,                 1.0385,                0.46448,                0.87966,                0.99343,                0.99963,                0.99391,                0.92753,                0.99343,                0.99963,                0.99391,                0.77673,                0.49387,                0.60011,                0.33467,                0.81907,              2.476e-05,              2.476e-05,              2.476e-05
                     79,                0.78092,                 1.0303,                0.45921,                 0.8784,                0.99346,                0.99963,                0.99416,                 0.9245,                 0.9938,                      1,                0.99416,                0.77606,                0.49719,                0.60758,                0.33896,                0.81965,              2.377e-05,              2.377e-05,              2.377e-05
                     80,                 0.7845,                 1.0349,                0.46269,                0.87923,                 0.9939,                0.99963,                0.99425,                0.91857,                0.99389,                0.99985,                0.99425,                0.77231,                0.50169,                 0.6065,                 0.3366,                 0.8194,              2.278e-05,              2.278e-05,              2.278e-05
                     81,                 0.7847,                 1.0262,                0.46241,                0.88098,                0.99435,                0.99963,                0.99424,                0.92453,                0.99435,                0.99963,                0.99424,                0.77425,                0.49529,                 0.5981,                0.33551,                0.81999,              2.179e-05,              2.179e-05,              2.179e-05
                     82,                 0.7873,                 1.0388,                0.46144,                0.87962,                0.99394,                0.99963,                0.99427,                0.92766,                0.99394,                0.99963,                0.99427,                0.77924,                0.49258,                0.60112,                0.33512,                0.81949,               2.08e-05,               2.08e-05,               2.08e-05
                     83,                0.77918,                 1.0295,                0.45925,                0.87864,                0.99435,                0.99963,                0.99422,                0.93137,                0.99435,                0.99963,                0.99422,                0.77647,                0.49107,                0.59729,                0.33419,                0.81894,              1.981e-05,              1.981e-05,              1.981e-05
                     84,                0.78427,                 1.0218,                0.45995,                0.87979,                0.99439,                0.99963,                0.99419,                0.92922,                0.99439,                0.99963,                0.99419,                0.77896,                0.49231,                0.60443,                0.33325,                0.81636,              1.882e-05,              1.882e-05,              1.882e-05
                     85,                0.77819,                 1.0208,                0.45827,                0.87775,                0.99392,                0.99963,                0.99424,                0.92751,                0.99392,                0.99963,                0.99424,                0.77588,                0.49202,                0.60191,                0.33572,                0.81714,              1.783e-05,              1.783e-05,              1.783e-05
                     86,                0.77658,                 1.0123,                0.45865,                0.87838,                0.99435,                0.99963,                0.99422,                0.92903,                0.99435,                0.99963,                0.99422,                0.77852,                0.48834,                0.59885,                0.33474,                0.81813,              1.684e-05,              1.684e-05,              1.684e-05
                     87,                0.78211,                 1.0453,                0.45689,                0.87983,                  0.994,                0.99963,                0.99414,                0.92705,                  0.994,                0.99963,                0.99414,                0.77696,                0.48909,                0.59988,                0.33514,                0.81798,              1.585e-05,              1.585e-05,              1.585e-05
                     88,                0.77641,                  1.022,                0.45261,                0.87949,                0.99402,                0.99975,                0.99408,                0.93044,                0.99402,                0.99975,                0.99408,                0.77621,                0.48976,                 0.5973,                0.33388,                0.81786,              1.486e-05,              1.486e-05,              1.486e-05
                     89,                0.77053,                  1.018,                0.45049,                0.87691,                0.99384,                0.99974,                0.99418,                0.92577,                0.99384,                0.99974,                0.99418,                0.77257,                0.48858,                0.59817,                0.33239,                0.81742,              1.387e-05,              1.387e-05,              1.387e-05
                     90,                0.77483,                 1.0105,                0.45469,                0.88038,                0.99416,                0.99963,                0.99418,                 0.9269,                0.99416,                0.99963,                0.99418,                0.77163,                0.48623,                0.59706,                0.33294,                0.81743,              1.288e-05,              1.288e-05,              1.288e-05
                     91,                0.69406,                 0.9454,                0.41178,                0.86355,                0.99403,                0.99978,                0.99401,                0.92634,                0.99403,                0.99978,                0.99401,                0.77167,                0.49012,                0.59863,                0.33363,                0.81815,              1.189e-05,              1.189e-05,              1.189e-05
                     92,                0.68295,                0.93901,                0.40332,                0.86046,                0.99414,                0.99982,                0.99396,                0.92927,                0.99414,                0.99982,                0.99396,                0.77283,                   0.49,                0.59618,                0.33376,                0.81808,               1.09e-05,               1.09e-05,               1.09e-05
                     93,                0.67973,                0.92946,                0.40182,                0.85827,                0.99358,                0.99983,                0.99401,                0.93104,                0.99358,                0.99983,                0.99401,                0.77485,                0.48662,                0.58986,                0.33125,                0.81756,               9.91e-06,               9.91e-06,               9.91e-06
                     94,                0.67594,                0.92234,                0.39791,                  0.857,                0.99392,                0.99985,                0.99394,                0.92837,                0.99392,                0.99985,                0.99394,                0.77457,                0.48732,                 0.5877,                0.32842,                0.81692,               8.92e-06,               8.92e-06,               8.92e-06
                     95,                0.67675,                0.92121,                0.39932,                0.85414,                  0.994,                      1,                0.99394,                0.92967,                  0.994,                      1,                0.99394,                 0.7721,                0.48476,                0.58738,                0.32952,                0.81692,               7.93e-06,               7.93e-06,               7.93e-06
                     96,                0.66928,                0.90847,                 0.3953,                0.85605,                0.99388,                      1,                0.99398,                 0.9319,                0.99388,                      1,                0.99398,                0.77502,                0.48229,                 0.5875,                0.32858,                0.81585,               6.94e-06,               6.94e-06,               6.94e-06
                     97,                0.67238,                0.91113,                0.39466,                0.85617,                0.99354,                      1,                  0.994,                0.92873,                0.99354,                      1,                  0.994,                0.77204,                0.48179,                0.58546,                0.32855,                0.81597,               5.95e-06,               5.95e-06,               5.95e-06
                     98,                0.67237,                0.91489,                0.39487,                 0.8567,                 0.9935,                      1,                0.99393,                0.92872,                 0.9935,                      1,                0.99393,                0.77288,                0.48156,                0.58403,                0.32783,                0.81626,               4.96e-06,               4.96e-06,               4.96e-06
                     99,                0.66216,                0.90366,                0.39098,                0.85487,                0.99357,                      1,                0.99391,                0.93043,                0.99357,                      1,                0.99391,                0.77309,                0.48029,                0.58675,                0.32723,                0.81587,               3.97e-06,               3.97e-06,               3.97e-06
                    100,                0.66927,                0.92161,                0.39342,                0.85591,                0.99363,                      1,                0.99389,                0.93256,                0.99363,                      1,                0.99389,                0.77715,                 0.4791,                0.58571,                0.32625,                0.81579,               2.98e-06,               2.98e-06,               2.98e-06
